base,quote
SRM,EUR
SRM,USD
SRM,XBT
STEP,EUR
STEP,USD
STG,EUR
STG,USD
STORJ,EUR
STORJ,USD
STORJ,XBT
STRK,EUR
STRK,USD
STX,EUR
STX,USD
SUI,EUR
SUI,USD
SUPER,EUR
SUPER,USD
SUSHI,EUR
SUSHI,GBP
SUSHI,USD
SUSHI,XBT
SYN,EUR
SYN,USD
TBTC,EUR
TBTC,USD
TBTC,XBT
TEER,EUR
TEER,USD
T,EUR
TIA,EUR
TIA,USD
TLM,EUR
TLM,USD
TOKE,EUR
TOKE,USD
TRU,EUR
TRU,USD
TRX,ETH
TRX,EUR
TRX,USD
TRX,XBT
TUSD,EUR
TUSD,USD
T,USD
TVK,EUR
TVK,USD
UMA,EUR
UMA,USD
UNFI,EUR
UNFI,USD
UNI,ETH
UNI,EUR
UNI,USD
UNI,XBT
USD,AED
USD,CAD
USDC,AUD
USDC,CAD
USDC,CHF
USDC,EUR
USDC,GBP
USD,CHF
USDC,USDT
USDC,USD
USD,JPY
USDT,AUD
USDT,CAD
USDT,CHF
USDT,EUR
USDT,GBP
USDT,JPY
USDT,USD
UST,EUR
UST,USDC
UST,USDT
UST,USD
WAVES,ETH
WAVES,EUR
WAVES,USD
WAVES,XBT
WAXL,EUR
WAXL,USD
WBTC,EUR
WBTC,USD
WBTC,XBT
W,EUR
WIF,EUR
WIF,USD
WOO,EUR
WOO,USD
W,USD
XBT,AED
XBT,AUD
XBT,CAD
XBT,CHF
XBT,DAI
XBT,EUR
XBT,GBP
XBT,JPY
XBTPY,USD
XBT,USDC
XBT,USDT
XBT,USD
XCN,EUR
XCN,USD
XDG,EUR
XDG,USDT
XDG,USD
XDG,XBT
XLM,EUR
XLM,GBP
XLM,USD
XLM,XBT
XMR,EUR
XMR,USDT
XMR,USD
XMR,XBT
XRP,AUD
XRP,CAD
XRP,ETH
XRP,EUR
XRP,GBP
XRP,JPY
XRP,USDT
XRP,USD
XRP,XBT
XRT,EUR
XRT,USD
XTZ,AUD
XTZ,ETH
XTZ,EUR
XTZ,GBP
XTZ,USDT
XTZ,USD
XTZ,XBT
YFI,EUR
YFI,USD
YFI,XBT
YGG,EUR
YGG,USD
ZEC,EUR
ZEC,USD
ZEC,XBT
ZRX,EUR
ZRX,USD
ZRX,XBT
